actor_id,emotion,index,filename,dataset
JE,Happy,08,JE_h08.wav,SAVEE
JE,Disgust,11,JE_d11.wav,SAVEE
JE,Disgust,05,JE_d05.wav,SAVEE
KL,Neutral,25,KL_n25.wav,SAVEE
KL,Neutral,19,KL_n19.wav,SAVEE
KL,Neutral,27,KL_n27.wav,SAVEE
JE,Disgust,13,JE_d13.wav,SAVEE
JE,Disgust,07,JE_d07.wav,SAVEE
JE,Fear,11,JE_f11.wav,SAVEE
JE,Fear,05,JE_f05.wav,SAVEE
JE,Neutral,18,JE_n18.wav,SAVEE
JE,Neutral,24,JE_n24.wav,SAVEE
JK,Anger,08,JK_a08.wav,SAVEE
JE,Neutral,30,JE_n30.wav,SAVEE
KL,Disgust,04,KL_d04.wav,SAVEE
KL,Disgust,10,KL_d10.wav,SAVEE
DC,Sad,09,DC_sa09.wav,SAVEE
DC,Anger,07,DC_a07.wav,SAVEE
KL,Happy,09,KL_h09.wav,SAVEE
DC,Anger,13,DC_a13.wav,SAVEE
KL,Fear,06,KL_f06.wav,SAVEE
KL,Fear,12,KL_f12.wav,SAVEE
KL,Fear,13,KL_f13.wav,SAVEE
KL,Fear,07,KL_f07.wav,SAVEE
KL,Happy,08,KL_h08.wav,SAVEE
DC,Anger,12,DC_a12.wav,SAVEE
DC,Anger,06,DC_a06.wav,SAVEE
DC,Sad,08,DC_sa08.wav,SAVEE
KL,Disgust,11,KL_d11.wav,SAVEE
KL,Disgust,05,KL_d05.wav,SAVEE
JE,Neutral,25,JE_n25.wav,SAVEE
JK,Anger,09,JK_a09.wav,SAVEE
JE,Neutral,19,JE_n19.wav,SAVEE
JE,Fear,04,JE_f04.wav,SAVEE
JE,Fear,10,JE_f10.wav,SAVEE
JE,Disgust,06,JE_d06.wav,SAVEE
JE,Disgust,12,JE_d12.wav,SAVEE
KL,Neutral,26,KL_n26.wav,SAVEE
JK,Sad,08,JK_sa08.wav,SAVEE
DC,Neutral,26,DC_n26.wav,SAVEE
JK,Neutral,01,JK_n01.wav,SAVEE
JK,Neutral,15,JK_n15.wav,SAVEE
JE,Anger,11,JE_a11.wav,SAVEE
JK,Neutral,29,JK_n29.wav,SAVEE
JE,Anger,05,JE_a05.wav,SAVEE
JK,Fear,08,JK_f08.wav,SAVEE
DC,Disgust,05,DC_d05.wav,SAVEE
JE,Sad,01,JE_sa01.wav,SAVEE
JE,Sad,15,JE_sa15.wav,SAVEE
DC,Disgust,11,DC_d11.wav,SAVEE
JK,Happy,13,JK_h13.wav,SAVEE
JK,Happy,07,JK_h07.wav,SAVEE
DC,Fear,07,DC_f07.wav,SAVEE
DC,Fear,13,DC_f13.wav,SAVEE
KL,Anger,06,KL_a06.wav,SAVEE
DC,Happy,08,DC_h08.wav,SAVEE
KL,Anger,12,KL_a12.wav,SAVEE
DC,Happy,09,DC_h09.wav,SAVEE
KL,Anger,13,KL_a13.wav,SAVEE
KL,Anger,07,KL_a07.wav,SAVEE
DC,Fear,12,DC_f12.wav,SAVEE
DC,Fear,06,DC_f06.wav,SAVEE
JK,Happy,06,JK_h06.wav,SAVEE
JK,Happy,12,JK_h12.wav,SAVEE
JE,Sad,14,JE_sa14.wav,SAVEE
DC,Disgust,10,DC_d10.wav,SAVEE
DC,Disgust,04,DC_d04.wav,SAVEE
JK,Fear,09,JK_f09.wav,SAVEE
JK,Neutral,28,JK_n28.wav,SAVEE
JE,Anger,04,JE_a04.wav,SAVEE
JE,Anger,10,JE_a10.wav,SAVEE
JK,Neutral,14,JK_n14.wav,SAVEE
DC,Neutral,27,DC_n27.wav,SAVEE
JK,Sad,09,JK_sa09.wav,SAVEE
DC,Neutral,25,DC_n25.wav,SAVEE
DC,Neutral,19,DC_n19.wav,SAVEE
JK,Neutral,16,JK_n16.wav,SAVEE
JK,Neutral,02,JK_n02.wav,SAVEE
JE,Anger,06,JE_a06.wav,SAVEE
JE,Anger,12,JE_a12.wav,SAVEE
DC,Disgust,12,DC_d12.wav,SAVEE
JE,Sad,02,JE_sa02.wav,SAVEE
DC,Disgust,06,DC_d06.wav,SAVEE
JK,Happy,04,JK_h04.wav,SAVEE
JK,Happy,10,JK_h10.wav,SAVEE
JK,Disgust,09,JK_d09.wav,SAVEE
DC,Fear,10,DC_f10.wav,SAVEE
DC,Fear,04,DC_f04.wav,SAVEE
KL,Anger,11,KL_a11.wav,SAVEE
KL,Anger,05,KL_a05.wav,SAVEE
KL,Anger,04,KL_a04.wav,SAVEE
KL,Anger,10,KL_a10.wav,SAVEE
DC,Fear,05,DC_f05.wav,SAVEE
DC,Fear,11,DC_f11.wav,SAVEE
JK,Disgust,08,JK_d08.wav,SAVEE
JK,Happy,11,JK_h11.wav,SAVEE
JK,Happy,05,JK_h05.wav,SAVEE
JE,Sad,03,JE_sa03.wav,SAVEE
DC,Disgust,07,DC_d07.wav,SAVEE
DC,Disgust,13,DC_d13.wav,SAVEE
JE,Anger,13,JE_a13.wav,SAVEE
JE,Anger,07,JE_a07.wav,SAVEE
JK,Neutral,03,JK_n03.wav,SAVEE
JK,Neutral,17,JK_n17.wav,SAVEE
DC,Neutral,18,DC_n18.wav,SAVEE
DC,Neutral,30,DC_n30.wav,SAVEE
DC,Neutral,24,DC_n24.wav,SAVEE
DC,Neutral,08,DC_n08.wav,SAVEE
DC,Neutral,20,DC_n20.wav,SAVEE
JE,Anger,03,JE_a03.wav,SAVEE
JK,Neutral,13,JK_n13.wav,SAVEE
JK,Neutral,07,JK_n07.wav,SAVEE
JE,Sad,13,JE_sa13.wav,SAVEE
DC,Disgust,03,DC_d03.wav,SAVEE
JE,Sad,07,JE_sa07.wav,SAVEE
JK,Happy,01,JK_h01.wav,SAVEE
JK,Happy,15,JK_h15.wav,SAVEE
DC,Fear,15,DC_f15.wav,SAVEE
DC,Fear,01,DC_f01.wav,SAVEE
KL,Sad,08,KL_sa08.wav,SAVEE
KL,Anger,14,KL_a14.wav,SAVEE
KL,Anger,01,KL_a01.wav,SAVEE
KL,Anger,15,KL_a15.wav,SAVEE
KL,Sad,09,KL_sa09.wav,SAVEE
DC,Fear,14,DC_f14.wav,SAVEE
JK,Happy,14,JK_h14.wav,SAVEE
DC,Disgust,02,DC_d02.wav,SAVEE
JE,Sad,06,JE_sa06.wav,SAVEE
JE,Sad,12,JE_sa12.wav,SAVEE
JK,Neutral,06,JK_n06.wav,SAVEE
JK,Neutral,12,JK_n12.wav,SAVEE
JE,Anger,02,JE_a02.wav,SAVEE
DC,Neutral,21,DC_n21.wav,SAVEE
DC,Neutral,09,DC_n09.wav,SAVEE
DC,Neutral,23,DC_n23.wav,SAVEE
JE,Anger,14,JE_a14.wav,SAVEE
JK,Neutral,04,JK_n04.wav,SAVEE
JK,Neutral,10,JK_n10.wav,SAVEE
JE,Sad,04,JE_sa04.wav,SAVEE
DC,Disgust,14,DC_d14.wav,SAVEE
JE,Sad,10,JE_sa10.wav,SAVEE
JK,Happy,02,JK_h02.wav,SAVEE
DC,Fear,02,DC_f02.wav,SAVEE
KL,Anger,03,KL_a03.wav,SAVEE
KL,Anger,02,KL_a02.wav,SAVEE
DC,Fear,03,DC_f03.wav,SAVEE
JK,Happy,03,JK_h03.wav,SAVEE
DC,Disgust,15,DC_d15.wav,SAVEE
JE,Sad,11,JE_sa11.wav,SAVEE
JE,Sad,05,JE_sa05.wav,SAVEE
DC,Disgust,01,DC_d01.wav,SAVEE
JK,Neutral,11,JK_n11.wav,SAVEE
JK,Neutral,05,JK_n05.wav,SAVEE
JE,Anger,01,JE_a01.wav,SAVEE
JE,Anger,15,JE_a15.wav,SAVEE
DC,Neutral,22,DC_n22.wav,SAVEE
